token_id,token,corpus_frequency
1189,nahaq,23
1190,niqab,23
1191,nəfəs,23
1192,olanda,23
1193,oldular,23
1194,onunla,23
1195,ox,23
1196,qanın,23
1197,qatar,23
1198,qonşu,23
1199,quş,23
1200,qış,23
1201,rəb,23
1202,salar,23
1203,seyyida,23
1204,sizi,23
1205,tənə,23
1206,ucundan,23
1207,vermiş,23
1208,vurar,23
1209,vurub,23
1210,yadına,23
1211,yay,23
1212,yaşım,23
1213,çeşmeyi,23
1214,çin,23
1215,öylə,23
1216,üzə,23
1217,şahlar,23
1218,əməl,23
1219,ər,23
1220,ərşi,23
1221,əsir,23
1222,əta,23
1223,еvinə,23
1224,ac,22
1225,adama,22
1226,ali,22
1227,anaxanımın,22
1228,and,22
1229,artar,22
1230,atın,22
1231,axırda,22
1232,ağzını,22
1233,barı,22
1234,basdı,22
1235,baxanda,22
1236,bəxş,22
1237,bəşirə,22
1238,cananə,22
1239,cüt,22
1240,dad,22
1241,dilbərin,22
1242,dilərsən,22
1243,doludur,22
1244,dönə,22
1245,dövründə,22
1246,düşən,22
1247,dəmadəm,22
1248,dəyməz,22
1249,edərəm,22
1250,eyləyir,22
1251,eşitdi,22
1252,faş,22
1253,fəqr,22
1254,gizli,22
1255,gözlə,22
1256,gözəllərin,22
1257,güllə,22
1258,gəlmişəm,22
1259,gəlsə,22
1260,gеdib,22
1261,halım,22
1262,halını,22
1263,haradan,22
1264,harda,22
1265,hikmət,22
1266,hüsnü,22
1267,həkim,22
1268,həmid,22
1269,içindəyəm,22
1270,içəri,22
1271,kuyin,22
1272,könlün,22
1273,kəndinə,22
1274,lap,22
1275,m,22
1276,mehman,22
1277,meydan,22
1278,müddət,22
1279,müşkül,22
1280,mərdi,22
1281,məsti,22
1282,naleyi,22
1283,nara,22
1284,nsan,22
1285,nəsiminin,22
1286,oynar,22
1287,qılmaz,22
1288,qılsa,22
1289,qədr,22
1290,rvaham,22
1291,salır,22
1292,sin,22
1293,sinə,22
1294,sultanı,22
1295,torpağı,22
1296,tərəfdən,22
1297,vardı,22
1298,verməz,22
1299,vəsfini,22
1300,vəsl,22
1301,vətən,22
1302,xalın,22
1303,xanə,22
1304,xələt,22
1305,xəyali,22
1306,xеyir,22
1307,yanağın,22
1308,yandırdı,22
1309,şaha,22
1310,şəfa,22
1311,şəhi,22
1312,şərh,22
1313,əbəd,22
1314,əlli,22
1315,əsiri,22
1316,əsli,22
1317,еylər,22
1318,ahim,21
1319,alim,21
1320,andan,21
1321,apardı,21
1322,aqibət,21
1323,ar,21
1324,atlı,21
1325,aydır,21
1326,ağlı,21
1327,bari,21
1328,baxıb,21
1329,bağlama,21
1330,bağı,21
1331,başladılar,21
1332,başım,21
1333,bilirsən,21
1334,bilirəm,21
1335,birin,21
1336,birinin,21
1337,boş,21
1338,c9,21
1339,cismi,21
1340,derəm,21
1341,didarına,21
1342,dostun,21
1343,doğrudan,21
1344,düşərmi,21
1345,dəmi,21
1346,dеsin,21
1347,etdilər,21
1348,eyləmək,21
1349,fazil,21
1350,geri,21
1351,haman,21
1352,hava,21
1353,köynəyinə,21
1354,mehri,21
1355,meydana,21
1356,möhnəti,21
1357,məh,21
1358,məlum,21
1359,n,21
1360,nəfər,21
1361,nəqşi,21
1362,odlu,21
1363,olu,21
1364,olun,21
1365,orda,21
1366,qala,21
1367,qurbanın,21
1368,qəddi,21
1369,qəmzə,21
1370,rahət,21
1371,sevər,21
1372,söhbəti,21
1373,sözlərin,21
1374,sözünə,21
1375,sǝnin,21
1376,tapıb,21
1377,tari,21
1378,tutmuş,21
1379,tökülür,21
1380,təkcə,21
1381,vasil,21
1382,vay,21
1383,verdim,21
1384,versə,21
1385,vüsalın,21
1386,xeyr,21
1387,xürrəm,21
1388,xızr,21
1389,xəm,21
1390,yazdı,21
1391,yağış,21
1392,yeksan,21
1393,yetişdi,21
1394,yolunu,21
1395,yolçu,21
1396,zalım,21
1397,zinhar,21
1398,çatdı,21
1399,çıxan,21
1400,şan,21
1401,şirvan,21
1402,şəmi,21
1403,şərif,21
1404,əhsən,21
1405,əksi,21
1406,əla,21
1407,əmma,21
1408,əqli,21
1409,əsla,21
1410,əyri,21
1411,afitab,20
1412,amandı,20
1413,aradan,20
1414,arizi,20
1415,ayağın,20
1416,ağkilsə,20
1417,bayram,20
1418,bağladı,20
1419,başıma,20
1420,behişt,20
1421,cahanın,20
1422,cövr,20
1423,danışdı,20
1424,deyəsən,20
1425,dilin,20
1426,durmuş,20
1427,düşman,20
1428,dər,20
1429,elmi,20
1430,evində,20
1431,eylərsən,20
1432,fikirləşdi,20
1433,gerçək,20
1434,görün,20
1435,görər,20
1436,gözünə,20
1437,gəzər,20
1438,hamısını,20
1439,həsən,20
1440,həzər,20
1441,keçən,20
1442,kəlmə,20
1443,kəmali,20
1444,lin,20
1445,lütfü,20
1446,ləzzət,20
1447,mişkin,20
1448,münkir,20
1449,müttəsil,20
1450,müştaq,20
1451,məclisində,20
1452,mələklər,20
1453,mərdana,20
1454,mərifət,20
1455,ni,20
1456,qardaşı,20
1457,qismət,20
1458,qorxuram,20
1459,qırmızı,20
1460,ruh,20
1461,səbəbdən,20
1462,sərdar,20
1463,sərxoş,20
1464,tapılmaz,20
1465,tay,20
1466,tiği,20
1467,töküb,20
1468,təmə,20
1469,vaqifi,20
1470,vüsal,20
1471,vəh,20
1472,vеrir,20
1473,xəbərdar,20
1474,yaşıl,20
1475,yerinə,20
1476,yusif,20
1477,yеddi,20
1478,zamana,20
1479,zəhi,20
1480,çoxu,20
1481,çıxır,20
1482,çəkilib,20
1483,çəkə,20
1484,çəkən,20
1485,ömr,20
1486,şikar,20
1487,əhməd,20
1488,ərzi,20
1489,adət,19
1490,altında,19
1491,arizin,19
1492,ayrılır,19
1493,ağkilsəyə,19
1494,ağıl,19
1495,aşiqəm,19
1496,bar,19
1497,bidar,19
1498,biçarə,19
1499,bulunmaz,19
1500,bunların,19
1501,bə,19
1502,bərgi,19
1503,canımız,19
1504,cigər,19
1505,cəfərqulu,19
1506,daği,19
1507,dideyi,19
1508,divanə,19
1509,dolanır,19
1510,doldu,19
1511,dünən,19
1512,dürri,19
1513,düşsə,19
1514,dədə,19
1515,dərdini,19
1516,dərin,19
1517,dеyər,19
1518,edirəm,19
1519,etibar,19
1520,fəna,19
1521,fəxr,19
1522,gahi,19
1523,görmək,19
1524,görməz,19
1525,göylərə,19
1526,gözdə,19
1527,gözlər,19
1528,gözündən,19
1529,gözələ,19
1530,gülzar,19
1531,gülşən,19
1532,gǝldi,19
1533,gərdən,19
1534,hadi,19
1535,həya,19
1536,ilahi,19
1537,iç,19
1538,içim,19
1539,kamal,19
1540,kağızı,19
1541,kaş,19
1542,key,19
1543,keçər,19
1544,kə,19
1545,kəndindən,19
1546,kəsin,19
1547,lövhi,19
1548,ləbindən,19
1549,ləblərin,19
1550,maral,19
1551,münəvvər,19
1552,mədəd,19
1553,məlamət,19
1554,məna,19
1555,mərdan,19
1556,mərdümi,19
1557,məskən,19
1558,nişana,19
1559,olanlar,19
1560,olmadan,19
1561,olmaya,19
1562,olsam,19
1563,pir,19
1564,qalmışam,19
1565,qalsın,19
1566,qalır,19
1567,qiymət,19
1568,qızın,19
1569,qəlbinə,19
1570,qəmindən,19
1571,qəmzən,19
1572,reyhan,19
1573,ruzigar,19
1574,sazın,19
1575,sidq,19
1576,sinəm,19
1577,sizin,19
1578,səd,19
1579,tab,19
1580,top,19
1581,tökər,19
1582,təkrar,19
1583,versin,19
1584,xalq,19
1585,xırda,19
1586,xəyalın,19
1587,xəzan,19
1588,yaxşılıq,19
1589,yetdi,19
1590,yеri,19
1591,zülfünü,19
1592,çoxdu,19
1593,ümidim,19
1594,üryan,19
1595,əgərçi,19
1596,əlimdən,19
1597,ahım,18
1598,almaq,18
1599,atası,18
1600,ayna,18
1601,aşıqlar,18
1602,aşığam,18
1603,baxın,18
