row_id,bir,ki,bu,nə,aşıq,ey,hər,ilə,kim,mən,o,i,də,ol,ələsgər,kimi,sən,var,oldu,da,çox,mənim,məni,gün,dedi,can,tək,idi,mənə,olur
147,0,4,1,2,0,1,1,0,1,1,0,0,0,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0
148,2,0,1,2,0,0,1,2,1,2,0,1,0,0,0,2,1,0,0,0,1,0,1,0,0,0,1,0,1,0
149,5,2,0,0,0,1,3,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0
150,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,9,0,0,0,0,0,0,0,0,2,0,0,0
151,0,2,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
152,0,0,1,1,0,0,1,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1
153,1,2,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
154,1,1,1,0,0,1,1,1,2,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
155,0,1,0,0,0,0,0,2,1,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
156,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
157,4,1,1,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,3,0,1,1,0,0,0
158,2,1,0,2,0,2,0,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
159,0,2,0,0,0,1,0,0,6,1,0,0,0,3,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0
160,1,2,1,1,0,3,0,2,5,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
161,0,2,0,0,0,2,1,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,0,4,0,1,0,1,1,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
163,2,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
