term_id,token,term_frequency,document_frequency
1013,gеcə,26,11
1014,hüsni,26,19
1015,istədi,26,17
1016,kuyində,26,25
1017,könlümə,26,18
1018,mö,26,23
1019,mǝn,26,21
1020,məhi,26,25
1021,nadan,26,26
1022,naz,26,23
1023,oda,26,24
1024,qamu,26,24
1025,qar,26,20
1026,qədəh,26,21
1027,qətrə,26,18
1028,rəva,26,24
1029,saqın,26,18
1030,sinəsinə,26,13
1031,sor,26,18
1032,söylədi,26,22
1033,tüfəng,26,9
1034,tə,26,24
1035,tələb,26,22
1036,xak,26,18
1037,xali,26,25
1038,xоş,26,9
1039,yandan,26,16
1040,zülfünə,26,22
1041,zərrəcə,26,25
1042,çeşmim,26,25
1043,özündən,26,21
1044,ünsüri,26,3
1045,şeytan,26,20
1046,əzəl,26,24
1047,еvə,26,8
1048,ahu,25,19
1049,arzular,25,8
1050,as,25,11
1051,baxma,25,18
1052,canıma,25,21
1053,dala,25,12
1054,der,25,24
1055,dün,25,24
1056,dünyadan,25,21
1057,dən,25,20
1058,dərdimi,25,20
1059,görcək,25,17
1060,gövhəri,25,23
1061,gülü,25,23
1062,gülün,25,16
1063,gəldilər,25,14
1064,hardasan,25,3
1065,hicr,25,24
1066,hüsn,25,24
1067,həqqi,25,24
1068,inci,25,19
1069,mindi,25,12
1070,mütləq,25,23
1071,məclisə,25,15
1072,məhşər,25,21
1073,neçün,25,17
1074,olmaram,25,8
1075,olsan,25,22
1076,olubdu,25,20
1077,olum,25,22
1078,qohum,25,14
1079,qılan,25,21
1080,rəng,25,21
1081,salma,25,18
1082,seyyid,25,23
1083,sərasər,25,23
1084,tapar,25,20
1085,tərlan,25,23
1086,vəslinə,25,22
1087,xəbərin,25,13
1088,xəlqi,25,19
1089,ədalət,25,23
1090,əşki,25,23
1091,afərin,24,20
1092,ata,24,19
1093,atdan,24,9
1094,atı,24,12
1095,ayağı,24,18
1096,baği,24,17
1097,bağrımı,24,22
1098,bildim,24,24
1099,canlar,24,20
1100,cövhəri,24,21
1101,dastan,24,19
1102,dildən,24,24
1103,düşdülər,24,11
1104,dəf,24,20
1105,dəva,24,23
1106,fəhm,24,19
1107,fələyin,24,18
1108,gözə,24,22
1109,güman,24,21
1110,günün,24,15
1111,gətirib,24,19
1112,halə,24,21
1113,hayıf,24,8
1114,hicrin,24,23
1115,isən,24,21
1116,işlər,24,20
1117,könlünü,24,22
1118,kəndində,24,10
1119,malı,24,20
1120,meyl,24,22
1121,mikayıl,24,3
