token,term_frequency,document_frequency
dədə,19,6
dərdini,19,15
dərin,19,16
dеyər,19,13
edirəm,19,13
etibar,19,16
fəna,19,16
fəxr,19,13
gahi,19,10
görmək,19,16
görməz,19,15
göylərə,19,19
gözdə,19,6
gözlər,19,16
gözündən,19,18
gözələ,19,9
gülzar,19,16
gülşən,19,17
gǝldi,19,8
gərdən,19,16
hadi,19,1
həya,19,19
ilahi,19,16
iç,19,9
içim,19,13
kamal,19,15
kağızı,19,4
kaş,19,16
key,19,16
keçər,19,15
kə,19,16
kəndindən,19,11
kəsin,19,14
lövhi,19,19
ləbindən,19,18
ləblərin,19,19
maral,19,13
münəvvər,19,19
mədəd,19,9
məlamət,19,18
məna,19,17
mərdan,19,17
mərdümi,19,17
məskən,19,17
nişana,19,12
olanlar,19,16
olmadan,19,11
olmaya,19,15
olsam,19,19
pir,19,16
qalmışam,19,17
qalsın,19,12
qalır,19,18
qiymət,19,18
qızın,19,7
qəlbinə,19,15
qəmindən,19,17
qəmzən,19,18
reyhan,19,19
ruzigar,19,16
sazın,19,12
sidq,19,18
sinəm,19,18
sizin,19,15
səd,19,16
tab,19,19
top,19,18
tökər,19,18
təkrar,19,18
versin,19,16
xalq,19,15
xırda,19,10
xəyalın,19,17
xəzan,19,13
yaxşılıq,19,9
yetdi,19,17
yеri,19,10
zülfünü,19,16
çoxdu,19,16
ümidim,19,17
üryan,19,14
əgərçi,19,19
əlimdən,19,15
ahım,18,17
almaq,18,12
atası,18,8
ayna,18,16
aşıqlar,18,9
aşığam,18,10
baxın,18,7
bağrı,18,17
başından,18,16
bidad,18,18
bilmədim,18,11
bimürvət,18,18
boyu,18,16
büti,18,16
bəd,18,17
bəhs,18,11
bəladır,18,18
bəndə,18,16
bəşər,18,17
cövrü,18,17
daşı,18,17
di,18,12
dildar,18,15
dönər,18,17
dünyayə,18,17
düşmüş,18,16
düşsün,18,15
düşərsən,18,4
dəhrdə,18,17
dərdli,18,14
fərhad,18,18
gedən,18,13
göydən,18,16
gülzari,18,16
gəldim,18,15
gəlmiş,18,17
gərəkdi,18,7
gеt,18,7
halına,18,16
hamınızın,18,9
hardan,18,15
it,18,10
içinə,18,10
içər,18,10
kənar,18,17
lazımdı,18,17
mina,18,18
müsəlman,18,17
müşgünaz,18,2
nagəh,18,17
nağının,18,3
nöqsan,18,15
nəyə,18,15
orada,18,11
qamətin,18,18
qanan,18,6
qansı,18,5
qarə,18,17
qaçan,18,17
qonaq,18,10
qur,18,18
quru,18,16
qılmağa,18,15
rövşən,18,18
salan,18,17
saət,18,17
sirrin,18,18
son,18,14
soyuq,18,13
söylər,18,16
sə,18,8
səkkiz,18,13
səninlə,18,13
sər,18,18
sərf,18,16
səs,18,17
səxavət,18,11
tanı,18,14
